"assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","date"
"","16036.169","1.7857369799482656","1.27279","20410.67554151","3.983329107782937","","0","null","0","0","False","True","Perpetual W/S Australian Share Fund","PER0049AU","Managed Funds - Australian Equities - General","Australian Equities","","",""
"International Equities","15077.643","0.9402000034090209","1.2768","19251.1345824","3.7570341355907675","","0","null","0","0","False","True","BT Global Emerging Markets Opp Fund - Wholesale","BTA0419AU","Managed Funds - International Equities","International Equities","94321.7469513","18.407747424329205",""
"","5312","1.4118975903614457","1.5","7968","1.5550277239116972","","0","null","0","0","False","True","Magellan Global Trust","MGG","ASX - International Equities LIC","International Equities","","",""
"","14853.559","1.3294706002783576","0.9316","13837.5755644","2.700528819573927","","0","null","0","0","False","True","MFS Fully Hedged Global Equity Trust","ETL0041AU","Managed Funds - International Equities","International Equities","","",""
"","12438.467","1.3005195897533033","1.1809","14688.5856803","2.8666111894978488","","0","null","0","0","False","True","RARE Infrastructure Value Fund - Unhedged","TGP0034AU","Managed Funds - International Equities","International Equities","","",""
"","18218.783","1.8044212942214637","2.1174","38576.4511242","7.528545555754965","","0","null","0","0","False","True","Zurich Investments Unhdgd Global Growth Share Fund","ZUR0581AU","Managed Funds - International Equities","International Equities","","",""
"Property","14031.378","1.5932690288865428","1.5787","22151.3364486","4.323034927117053","","0","null","0","0","False","True","APN AREIT Fund","APN0008AU","Managed Funds - Australian Property Securities","Property","22151.3364486","4.323034927117053",""
"Australian Fixed Interest","40735.901","1.0769323599838874","1.0475","42670.8562975","8.327605992176775","","0","null","0","0","False","True","AMP Capital Corporate Bond Fund A","AMP0557AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","164975.2701156","32.19642555090097",""
"","37706.534","1.0789907128562917","1.068","40270.578312","7.859169896224538","","0","null","0","0","False","True","Janus Henderson Tactical Income Fund","IOF0145AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","",""
"","29801.689","1.1196130528038193","1.0749","32033.8355061","6.251694567672239","","0","null","0","0","False","True","Schroder Fixed Income Fund - Wholesale Class","SCH0028AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","",""
