"assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","date"
"","1650","33.337575757575756","31.92","52668","2.4296094382069287","","0","null","0","0","False","True","Woodside Petroleum Ltd","WPL","ASX - Australian Shares","Australian Equities","","",""
"International Equities","75","188.66306666666668","246.072707","18455.453025","0.8513621716397929","USD","0.78","null","191.42","14356.5","False","True","Berkshire Hathaway Class B","BRKB.NY","International Shares - NYSE","International Equities","632220.6583866","29.16475428429942",""
"","224000","1.0941964285714285","1.2","268800","12.399920577770608","","0","null","0","0","False","True","Future Generation Global Investment Company Ltd","FGG","ASX - International Equities LIC","International Equities","","",""
"","20000","2.5500455","3.03","60600","2.795517808827749","","0","null","0","0","False","True","Magellan Global Equities Fund","MGE","ASX - International Equities ETFs","International Equities","","",""
"","54500","1.747588990825688","2.26","123170","5.681913011770855","","0","null","0","0","False","True","MFF Capital Investments Limited","MFF","ASX - International Equities LIC","International Equities","","",""
"","83000","1.3102409638554218","1.43","118690","5.475247668808012","","0","null","0","0","False","True","Templeton Global Growth Fund Ltd","TGG","ASX - International Equities LIC","International Equities","","",""
"","20824.656","1.9208000362647046","2.0411","42505.2053616","1.9607930454824012","","0","null","0","0","False","True","Vanguard International Shares Index Fund","VAN0003AU","Managed Funds - International Equities","International Equities","","",""
"Property","9000","2.75243","2.98","26820","1.23722421836238","","0","null","0","0","False","True","BWP Trust","BWP","ASX - Listed Property","Property","632454.6","29.175546164604462",""
"","20400","5.377225980392157","6.17","125868","5.806373524117675","","0","null","0","0","False","True","Cedar Woods Properties Ltd","CWP","ASX - Listed Property","Property","","",""
"","362088","0.016507036963390113","1.325","479766.6","22.131948422124406","","0","null","0","0","False","True","Peet Limited","PPC","ASX - Listed Property","Property","","",""
"Cash","0","0","0","12934.77","0.5966894370972096","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","17934.77","0.8273427216539545",""
"","0","0","0","5000","0.23065328455674497","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","",""
"","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","",""
"Australian Equities","800","13.015","14.03","11224","0.4994338851945757","","0","null","0","0","False","True","Amcor Ltd","AMC","ASX - Australian Shares","Australian Equities","927853.5357843","41.2866621764324","8/08/2018"
"","500","20.79","28.46","14230","0.6331917486028877","","0","null","0","0","False","True","Ansell Ltd","ANN","ASX - Australian Shares","Australian Equities","","",""
"","3667","31.01581674393237","28.82","105682.94","4.702569611812654","","0","null","0","0","False","True","Australia and New Zealand Banking Group Ltd","ANZ","ASX - Australian Shares","Australian Equities","","",""
"","450","23.164444444444445","33.94","15273","0.6796020784548071","","0","null","0","0","False","True","BHP Billiton Ltd","BHP","ASX - Australian Shares","Australian Equities","","",""
"","300","31.206666666666667","33.23","9969","0.4435901997064082","","0","null","0","0","False","True","Caltex Australia Ltd","CTX","ASX - Australian Shares","Australian Equities","","",""
"","815","75.08494478527608","74.81","60970.15","2.712986359176413","","0","null","0","0","False","True","Commonwealth Bank of Australia","CBA","ASX - Australian Shares","Australian Equities","","",""
"","74082.037","1.772313307205632","2.3239","172159.2457843","7.660563167696083","","0","null","0","0","False","True","Eley Griffiths Group Small Companies Fund","EGG0001AU","Managed Funds - Australian Equities - Small Cap","Australian Equities","","",""
"","100000","1.1252","1.31","131000","5.829101831832628","","0","null","0","0","False","True","Future Generation Investment Company Limited","FGX","ASX - Australian Equities LIC","Australian Equities","","",""
"","3250","5.255046153846154","7.49","24342.5","1.0831672621479829","","0","null","0","0","False","True","Netwealth Group Limited","NWL","ASX - Australian Shares","Australian Equities","","",""
"","1400","7.154285714285714","14.54","20356","0.9057801289220228","","0","null","0","0","False","True","ResMed Inc","RMD","ASX - Australian Shares","Australian Equities","","",""
"","1750","5.796428571428572","2.81","4917.5","0.21881380349646526","","0","null","0","0","False","True","Telstra Corporation Limited","TLS","ASX - Australian Shares","Australian Equities","","",""
"","90000","1.1","1.44","129600","5.766806087064952","","0","null","0","0","False","True","WAM Microcap Limited","WMI","ASX - Australian Equities LIC","Australian Equities","","",""
"","1450","40.421627586206895","50.21","72804.5","3.2395789642416686","","0","null","0","0","False","True","Wesfarmers Limited","WES","ASX - Australian Shares","Australian Equities","","",""
"","3235","31.979134466769708","29.25","94623.75","4.210469270686051","","0","null","0","0","False","True","Westpac Banking Corporation","WBC","ASX - Australian Shares","Australian Equities","","",""
"","1650","33.337575757575756","36.55","60307.5","2.683500448269055","","0","null","0","0","False","True","Woodside Petroleum Ltd","WPL","ASX - Australian Shares","Australian Equities","","",""
"","183","0","2.15","393.45","0.017507329127744636","","0","null","0","0","False","True","Woodside Petroleum Ltd Rights","WPLR","ASX - Australian Shares","Australian Equities","","",""
"International Equities","75","188.66306666666668","281.293822","21097.03665","0.9387540075019473","USD","0.74","null","208.72","15654","False","True","Berkshire Hathaway Class B","BRKB.NY","International Shares - NYSE","International Equities","717441.3485556","31.92395938242686",""
"","224000","1.0941964285714285","1.425","319200","14.203429807030343","","0","null","0","0","False","True","Future Generation Global Investment Company Ltd","FGG","ASX - International Equities LIC","International Equities","","",""
"","20000","2.5500455","3.26","65200","2.901201827751812","","0","null","0","0","False","True","Magellan Global Equities Fund","MGE","ASX - International Equities ETFs","International Equities","","",""
"","54500","1.747588990825688","2.69","146605","6.523476901189484","","0","null","0","0","False","True","MFF Capital Investments Limited","MFF","ASX - International Equities LIC","International Equities","","",""
"","83000","1.3102409638554218","1.43","118690","5.281344247482554","","0","null","0","0","False","True","Templeton Global Growth Fund Ltd","TGG","ASX - International Equities LIC","International Equities","","",""
"","20824.656","1.9208000362647046","2.2401","46649.3119056","2.075752591470722","","0","null","0","0","False","True","Vanguard International Shares Index Fund","VAN0003AU","Managed Funds - International Equities","International Equities","","",""
"Property","9000","2.75243","3.29","29610","1.3175550018363673","","0","null","0","0","False","True","BWP Trust","BWP","ASX - Listed Property","Property","581058.72","25.855346940109328",""
"","20400","5.377225980392157","5.91","120564","5.364731551550145","","0","null","0","0","False","True","Cedar Woods Properties Ltd","CWP","ASX - Listed Property","Property","","",""
"","362088","0.016507036963390113","1.19","430884.72","19.173060386722817","","0","null","0","0","False","True","Peet Limited","PPC","ASX - Listed Property","Property","","",""
"Cash","0","0","0","15990.91","0.7115468914020664","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","20990.91","0.9340316941437697",""
"","0","0","0","5000","0.22248480274170337","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","",""
"","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","",""
